Year,The Consumer Price Index
1851,1.83
1852,1.74
1853,1.83
1854,2.61
1855,3.39
1856,3.19
1857,2.88
1858,2.87
1859,2.84
1860,2.66
1861,2.37
1862,2.17
1863,2.09
1864,2.03
1865,2.08
1866,2.23
1867,2.09
1868,1.91
1869,1.91
1870,1.9
1871,1.87
1872,1.79
1873,1.76
1874,1.85
1875,1.98
1876,1.97
1877,1.91
1878,1.82
1879,1.78
1880,1.82
1881,1.85
1882,1.91
1883,1.94
1884,1.83
1885,1.84
1886,1.96
1887,1.96
1888,1.9
1889,1.88
1890,1.9
1891,1.9
1892,1.88
1893,1.79
1894,1.69
1895,1.64
1896,1.66
1897,1.7
1898,1.7
1899,1.66
1900,1.66
1901,1.7
1902,1.75
1903,1.75
1904,1.71
1905,1.73
1906,1.78
1907,1.81
1908,1.87
1909,1.88
1910,1.88
1911,1.91
1912,1.98
1913,2.04
1914,2.08
1915,2.19
1916,2.42
1917,2.48
1918,2.66
1919,2.85
1920,3.2
1921,3.26
1922,3.09
1923,2.92
1924,2.89
1925,2.91
1926,2.94
1927,2.94
1928,2.97
1929,3.02
1930,3.02
1931,2.91
1932,2.73
1933,2.62
1934,2.56
1935,2.56
1936,2.58
1937,2.64
1938,2.7
1939,2.76
1940,2.83
1941,2.94
1942,3.11
1943,3.29
1944,3.4
1945,3.43
1946,3.49
1947,3.61
1948,3.88
1949,4
1950,4.3
1951,5.1
1952,6.1
1953,6.4
1954,6.5
1955,6.6
1956,7
1957,7.2
1958,7.2
1959,7.3
1960,7.6
1961,7.9
1962,7.8
1963,7.8
1964,8
1965,8.3
1966,8.6
1967,8.9
1968,9.1
1969,9.4
1970,9.7
1971,10.2
1972,10.9
1973,11.8
1974,13.5
1975,15.8
1976,17.7
1977,20.1
1978,21.7
1979,23.6
1980,26.2
1981,28.4
1982,31.5
1983,35
1984,36.4
1985,38.8
1986,42.1
1987,46
1988,49.3
1989,53
1990,57.1
1991,59
1992,59.7
1993,60.8
1994,61.9
1995,64.7
1996,66.7
1997,66.9
1998,67.4
1999,68.1
2000,70.2
2001,74.5
2002,76.6
2003,78.6
2004,80.6
2005,82.6
2006,85.9
2007,87.7
2008,91.6
2009,92.9
2010,95.8
2011,99.2
2012,100.4
2013,102.8
2014,105.9
2015,107.5
2016,108.6
2017,110.7
2018,113
2019,114.8
2020,114.4
2021,118.8
2022,126.1
2023,133.7
2024,138.8
