Year,GDP
1828,7,105
1829,7,518
1830,9,401
1831,9,703
1832,9,258
1833,8,084
1834,7,699
1835,9,603
1836,9,842
1837,9,920
1838,9,343
1839,7,461
1840,9,174
1841,8,670
1842,7,179
1843,8,114
1844,8,706
1845,8,412
1846,9,312
1847,10,949
1848,11,835
1849,11,961
1850,10,233
1851,12,023
1852,13,837
1853,14,695
1854,13,655
1855,12,251
1856,12,972
1857,13,342
1858,11,485
1859,12,113
1860,13,640
1861,13,536
1862,13,065
1863,12,590
1864,12,870
1865,12,972
1866,12,869
1867,13,615
1868,14,325
1869,14,325
1870,14,325
1871,14,110
1872,14,171
1873,15,340
1874,15,708
1875,16,396
1876,16,768
1877,16,374
1878,17,039
1879,17,333
1880,17,371
1881,17,865
1882,17,441
1883,17,296
1884,17,836
1885,17,877
1886,17,961
1887,18,661
1888,19,063
1889,19,076
1890,18,917
1891,18,837
1892,18,185
1893,16,120
1894,15,646
1895,15,180
1896,15,112
1897,14,918
1898,15,412
1899,16,406
1900,16,660
1901,16,154
1902,17,550
1903,16,154
1904,17,820
1905,17,253
1906,17,758
1907,19,839
1908,18,208
1909,18,367
1910,19,010
1911,19,957
1912,18,998
1913,20,281
1914,20,082
1915,17,673
1916,19,963
1917,19,072
1918,18,365
1919,18,036
1920,16,678
1921,18,655
1922,19,164
1923,19,427
1924,19,734
1925,20,623
1926,19,578
1927,19,998
1928,19,487
1929,18,868
1930,18,999
1931,17,080
1932,17,270
1933,18,113
1934,18,652
1935,18,902
1936,19,706
1937,20,126
1938,21,203
1939,20,200
1940,21,118
1941,22,468
1942,25,577
1943,27,514
1944,26,963
1945,25,126
1946,23,723
1947,22,712
1948,23,996
1949,24,398
1950,25,598
1951,26,329
1952,26,604
1953,25,897
1954,26,933
1955,27,845
1956,28,521
1957,28,416
1958,28,477
1959,29,936
1960,31,442
1961,31,315
1962,30,944
1963,32,236
1964,34,321
1965,35,448
1966,35,317
1967,37,452
1968,38,313
1969,40,254
1970,42,500
1971,43,081
1972,42,722
1973,43,198
1974,44,340
1975,44,414
1976,45,205
1977,46,381
1978,45,975
1979,47,567
1980,48,267
1981,49,234
1982,50,137
1983,48,206
1984,49,823
1985,51,800
1986,53,097
1987,53,607
1988,55,769
1989,57,028
1990,58,139
1991,57,052
1992,56,642
1993,58,300
1994,60,132
1995,61,866
1996,63,474
1997,65,180
1998,67,597
1999,70,290
2000,72,082
2001,72,760
2002,74,759
2003,76,151
2004,78,533
2005,80,019
2006,81,218
2007,83,020
2008,84,290
2009,84,163
2010,84,385
2011,85,316
2012,87,229
2013,87,885
2014,88,818
2015,89,352
2016,90,606
2017,91,142
2018,92,324
2019,92,872
2020,91,369
2021,92,917
2022,96,315
2023,97,585
2024,96,558
