Importer Country,Importer Country ID,lat,lon,Current Trade Value (USD),Column1
South Africa,ZAF,-30.56,22.94,386,
Burkina Faso,BFA,12.36,-1.53,3152,
Cote d'Ivoire,CIV,7.54,-5.55,4535,
Ghana,GHA,7.95,-1.02,33611,
Senegal,SEN,14.5,-14.45,2313,
China,CHN,35.86,104.2,4114417683,
Hong Kong,HKG,22.32,114.17,5615943064,
Japan,JPN,36.2,138.25,351954,
South Korea,KOR,35.91,127.77,1288090064,
Chinese Taipei,TWN,23.7,120.96,5550850,
Indonesia,IDN,-0.79,113.92,1481054543,
Malaysia,MYS,4.21,101.98,213552833,
Philippines,PHL,12.88,121.77,604195,
Singapore,SGP,1.35,103.82,2787128825,
Thailand,THA,15.87,100.99,558800662,
Vietnam,VNM,14.06,108.28,14755347,
India,IND,20.59,78.96,2990002098,
Sri Lanka,LKA,7.87,80.77,665704,
United Arab Emirates,ARE,23.42,53.85,203637863,
Armenia,ARM,40.07,45.04,83170,
Azerbaijan,AZE,40.14,47.58,1451995094,
Bahrain,BHR,26.07,50.55,9914,
Kuwait,KWT,29.31,47.48,4576,
Lebanon,LBN,33.85,35.86,76897,
Qatar,QAT,25.35,51.18,422259,
Saudi Arabia,SAU,23.89,45.08,3707372,
Turkey,TUR,38.96,35.24,73930686,
Bulgaria,BGR,42.73,25.49,552,
Czechia,CZE,49.82,15.47,36195,
Poland,POL,51.92,19.15,2323508,
Romania,ROU,45.94,24.97,3619,
Slovakia,SVK,48.67,19.7,15456,
Denmark,DNK,56.26,9.5,274,
Estonia,EST,58.6,25.01,180,
Finland,FIN,61.92,25.75,754,
United Kingdom,GBR,55.38,-3.44,5470421859,
Ireland,IRL,53.41,-8.24,8257,
Norway,NOR,60.47,8.47,27664,
Sweden,SWE,60.13,18.64,95,
Italy,ITA,41.87,12.57,68877589,
Serbia,SRB,44.02,21.01,55343,
Belgium,BEL,50.5,4.47,154803,
Switzerland,CHE,46.82,8.23,4144120148,
Germany,DEU,51.17,10.45,32050273,
France,FRA,46.23,2.21,884,
Netherlands,NLD,52.13,5.29,13565,
Canada,CAN,56.13,-106.35,3566048,
United States,USA,37.09,-95.71,1151865762,
New Zealand,NZL,-40.9,174.89,21093776,
Fiji,FJI,-17.71,178.07,11643,
Papua New Guinea,PNG,-6.31,143.96,758,
Vanuatu,VUT,-15.38,166.96,35986,
Bolivia,BOL,-16.29,-63.59,51845,
Brazil,BRA,-14.24,-51.93,43685,
Chile,CHL,-35.68,-71.54,563,
Mali,MLI,17.57,-3.99,0,
Laos,LAO,19.86,102.5,0,
Iraq,IRQ,33.22,43.68,0,
Israel,ISR,31.05,34.85,0,
Oman,OMN,21.51,55.92,0,
Spain,ESP,40.46,-3.75,0,
New Caledonia,NCL,-20.9,165.62,0,
