Exporter Country,Exporter Country ID,Importer Country,Importer Country ID,Current Trade Value (USD),lat,lon,lat2
Australia,AUS,South Africa,ZAF,386,-30.56,22.94,-30.56
Australia,AUS,Burkina Faso,BFA,3152,12.36,-1.53,12.36
Australia,AUS,Cote d'Ivoire,CIV,4535,7.54,-5.55,7.54
Australia,AUS,Ghana,GHA,33611,7.95,-1.02,7.9501
Australia,AUS,Senegal,SEN,2313,14.5,-14.45,14.5
Australia,AUS,China,CHN,4114417683,35.86,104.2,50.5126
Australia,AUS,Hong Kong,HKG,5615943064,22.32,114.17,42.32
Australia,AUS,Japan,JPN,351954,36.2,138.25,36.2013
Australia,AUS,South Korea,KOR,1288090064,35.91,127.77,40.4973
Australia,AUS,Chinese Taipei,TWN,5550850,23.7,120.96,23.7198
Australia,AUS,Indonesia,IDN,1481054543,-0.79,113.92,4.4845
Australia,AUS,Malaysia,MYS,213552833,4.21,101.98,4.9705
Australia,AUS,Philippines,PHL,604195,12.88,121.77,12.8822
Australia,AUS,Singapore,SGP,2787128825,1.35,103.82,11.2758
Australia,AUS,Thailand,THA,558800662,15.87,100.99,17.8601
Australia,AUS,Vietnam,VNM,14755347,14.06,108.28,14.1125
Australia,AUS,India,IND,2990002098,20.59,78.96,31.2383
Australia,AUS,Sri Lanka,LKA,665704,7.87,80.77,7.8724
Australia,AUS,United Arab Emirates,ARE,203637863,23.42,53.85,24.1452
Australia,AUS,Armenia,ARM,83170,40.07,45.04,40.0703
Australia,AUS,Azerbaijan,AZE,1451995094,40.14,47.58,45.311
Australia,AUS,Bahrain,BHR,9914,26.07,50.55,26.07
Australia,AUS,Kuwait,KWT,4576,29.31,47.48,29.31
Australia,AUS,Lebanon,LBN,76897,33.85,35.86,33.8503
Australia,AUS,Qatar,QAT,422259,25.35,51.18,25.3515
Australia,AUS,Saudi Arabia,SAU,3707372,23.89,45.08,23.9032
Australia,AUS,Turkey,TUR,73930686,38.96,35.24,39.2233
Australia,AUS,Bulgaria,BGR,552,42.73,25.49,42.73
Australia,AUS,Czechia,CZE,36195,49.82,15.47,49.8201
Australia,AUS,Poland,POL,2323508,51.92,19.15,51.9283
Australia,AUS,Romania,ROU,3619,45.94,24.97,45.94
Australia,AUS,Slovakia,SVK,15456,48.67,19.7,48.6701
Australia,AUS,Denmark,DNK,274,56.26,9.5,56.26
Australia,AUS,Estonia,EST,180,58.6,25.01,58.6
Australia,AUS,Finland,FIN,754,61.92,25.75,61.92
Australia,AUS,United Kingdom,GBR,5470421859,55.38,-3.44,74.8618
Australia,AUS,Ireland,IRL,8257,53.41,-8.24,53.41
Australia,AUS,Norway,NOR,27664,60.47,8.47,60.4701
Australia,AUS,Sweden,SWE,95,60.13,18.64,60.13
Australia,AUS,Italy,ITA,68877589,41.87,12.57,42.1153
Australia,AUS,Serbia,SRB,55343,44.02,21.01,44.0202
Australia,AUS,Belgium,BEL,154803,50.5,4.47,50.5006
Australia,AUS,Switzerland,CHE,4144120148,46.82,8.23,61.5784
Australia,AUS,Germany,DEU,32050273,51.17,10.45,51.2841
Australia,AUS,France,FRA,884,46.23,2.21,46.23
Australia,AUS,Netherlands,NLD,13565,52.13,5.29,52.13
Australia,AUS,Canada,CAN,3566048,56.13,-106.35,56.1427
Australia,AUS,United States,USA,1151865762,37.09,-95.71,41.1921
Australia,AUS,New Zealand,NZL,21093776,-40.9,174.89,-40.8249
Australia,AUS,Fiji,FJI,11643,-17.71,178.07,-17.71
Australia,AUS,Papua New Guinea,PNG,758,-6.31,143.96,-6.31
Australia,AUS,Vanuatu,VUT,35986,-15.38,166.96,-15.3799
Australia,AUS,Bolivia,BOL,51845,-16.29,-63.59,-16.2898
Australia,AUS,Brazil,BRA,43685,-14.24,-51.93,-14.2398
Australia,AUS,Chile,CHL,563,-35.68,-71.54,-35.68
Australia,AUS,Mali,MLI,0,17.57,-3.99,17.57
Australia,AUS,Laos,LAO,0,19.86,102.5,19.86
Australia,AUS,Iraq,IRQ,0,33.22,43.68,33.22
Australia,AUS,Israel,ISR,0,31.05,34.85,31.05
Australia,AUS,Oman,OMN,0,21.51,55.92,21.51
Australia,AUS,Spain,ESP,0,40.46,-3.75,40.46
Australia,AUS,New Caledonia,NCL,0,-20.9,165.62,-20.9
