date,State,expenditure
1988-09-01,New South Wales,6.9
1988-12-01,New South Wales,7.8
1989-03-01,New South Wales,3.5
1989-06-01,New South Wales,4.0
1989-09-01,New South Wales,2.4
1989-12-01,New South Wales,2.4
1990-03-01,New South Wales,2.2
1990-06-01,New South Wales,3.1
1990-09-01,New South Wales,1.9
1990-12-01,New South Wales,2.6
1991-03-01,New South Wales,2.7
1991-06-01,New South Wales,3.1
1991-09-01,New South Wales,4.1
1991-12-01,New South Wales,5.0
1992-03-01,New South Wales,3.6
1992-06-01,New South Wales,3.4
1992-09-01,New South Wales,3.1
1992-12-01,New South Wales,3.7
1993-03-01,New South Wales,2.3
1993-06-01,New South Wales,3.9
1993-09-01,New South Wales,3.7
1993-12-01,New South Wales,6.5
1994-03-01,New South Wales,6.3
1994-06-01,New South Wales,11.0
1994-09-01,New South Wales,9.0
1994-12-01,New South Wales,9.4
1995-03-01,New South Wales,10.3
1995-06-01,New South Wales,12.9
1995-09-01,New South Wales,10.9
1995-12-01,New South Wales,7.8
1996-03-01,New South Wales,6.8
1996-06-01,New South Wales,9.2
1996-09-01,New South Wales,8.2
1996-12-01,New South Wales,8.7
1997-03-01,New South Wales,10.4
1997-06-01,New South Wales,12.8
1997-09-01,New South Wales,9.5
1997-12-01,New South Wales,9.2
1998-03-01,New South Wales,8.1
1998-06-01,New South Wales,5.0
1998-09-01,New South Wales,4.6
1998-12-01,New South Wales,6.5
1999-03-01,New South Wales,6.8
1999-06-01,New South Wales,5.2
1999-09-01,New South Wales,3.6
1999-12-01,New South Wales,3.5
2000-03-01,New South Wales,3.0
2000-06-01,New South Wales,4.2
2000-09-01,New South Wales,4.0
2000-12-01,New South Wales,3.4
2001-03-01,New South Wales,4.3
2001-06-01,New South Wales,4.6
2001-09-01,New South Wales,4.6
2001-12-01,New South Wales,3.4
2002-03-01,New South Wales,3.9
2002-06-01,New South Wales,3.9
2002-09-01,New South Wales,4.1
2002-12-01,New South Wales,4.5
2003-03-01,New South Wales,5.3
2003-06-01,New South Wales,6.0
2003-09-01,New South Wales,4.4
2003-12-01,New South Wales,5.5
2004-03-01,New South Wales,4.8
2004-06-01,New South Wales,5.8
2004-09-01,New South Wales,7.6
2004-12-01,New South Wales,6.3
2005-03-01,New South Wales,4.7
2005-06-01,New South Wales,6.2
2005-09-01,New South Wales,5.7
2005-12-01,New South Wales,5.3
2006-03-01,New South Wales,4.7
2006-06-01,New South Wales,6.6
2006-09-01,New South Wales,4.5
2006-12-01,New South Wales,6.1
2007-03-01,New South Wales,5.3
2007-06-01,New South Wales,6.8
2007-09-01,New South Wales,7.3
