Date,Export Earning ($m),Gold Price (A$/oz),Production Volume (t)
1990-03-01,826,530,57.11
1990-06-01,732,475,59.387
1990-09-01,741,473,59.189
1990-12-01,1141,486,68.413
1991-03-01,1026,475,56.098
1991-06-01,765,468,58.06
1991-09-01,1044,457,60.877
1991-12-01,865,460,61.241
1992-03-01,1014,466,59.723
1992-06-01,1099,447,59.629
1992-09-01,1128,476,61.758
1992-12-01,1235,486,62.626
1993-03-01,1075,482,53.8584014
1993-06-01,877,522,56.2617357
1993-09-01,1490,561,57.4501994
1993-12-01,1241,565,59.7408507
1994-03-01,1451,546,58.6210586
1994-06-01,1087,531,60.8070107
1994-09-01,1019,525,58.6833899
1994-12-01,1116,512,58.8050978
1995-03-01,1296,509,55.6811582
1995-06-01,1268,536,58.5118232
1995-09-01,1366,522,60.3742369
1995-12-01,1333,518,61.8310303
1996-03-01,1493,533,66.3851387
1996-06-01,1354,495,69.8064353
1996-09-01,1223,490,68.0776342
1996-12-01,1166,475,72.46046137
1997-03-01,1151,453,71.43865006
1997-06-01,1177,447,76.75466571
1997-09-01,1165,441,76.25947073
1997-12-01,1431,443,79.52937889
1998-03-01,1632,444,76.68058066
1998-06-01,2035,478,73.83700397
1998-09-01,2070,484,71.66175528
1998-12-01,1904,472,77.44071844
1999-03-01,1226,454,71.31380072
1999-06-01,1135,420,71.31485824
1999-09-01,1233,399,73.17313526
1999-12-01,1214,459,73.66388587
2000-03-01,1312,459,68.18364046
2000-06-01,1273,475,74.8659107
2000-09-01,1205,481,72.93690438
2000-12-01,1163,506,74.92702903
2001-03-01,1349,496,71.99431362
2001-06-01,1392,522,73.81927882
2001-09-01,1250,534,68.7991471
2001-12-01,1165,544,65.47070219
2002-03-01,1321,562,63.19654063
2002-06-01,1392,568,67.11778663
2002-09-01,1313,574,66.52259056
2002-12-01,1281,579,69.37425032
2003-03-01,1587,594,66.33824881
2003-06-01,1402,544,73.57138237
2003-09-01,1413,553,70.17878994
2003-12-01,1460,550,71.12456524
2004-03-01,1398,535,62.50467717
2004-06-01,1381,551,62.80407252
2004-09-01,1366,568,65.88984775
2004-12-01,1496,575,66.77166443
2005-03-01,1350,551,67.21921621
2005-06-01,1430,557,65.25627676
2005-09-01,1473,580,63.77230301
2005-12-01,1569,654,65.87052473
2006-03-01,1690,754,59.58163273
2006-06-01,2514,841,60.15566804
2006-09-01,2517,822,61.74587462
2006-12-01,2433,800,65.37580549
2007-03-01,2556,828,61.25527953
2007-06-01,3053,805,62.384149
2007-09-01,2905,806,61.0042123
2007-12-01,2847,889,62.7114764
2008-03-01,3293,1023,51.79269535
2008-06-01,3001,952,54.18993336
2008-09-01,3962,978,55.11296004
2008-12-01,4044,1184,54.09071328
2009-03-01,5566,1369,53.45082152
2009-06-01,3320,1215,55.18208129
2009-09-01,2938,1153,54.13494242
2009-12-01,3226,1209,60.73572156
2010-03-01,3262,1227,56.98386507
2010-06-01,4371,1356,62.89060131
2010-09-01,3062,1360,63.52265499
2010-12-01,3742,1391,65.45729104
2011-03-01,3525,1382,61.01235585
2011-06-01,3278,1426,63.68331745
2011-09-01,3977,1624,62.8113471
2011-12-01,4297,1666,61.92522725
2012-03-01,3219,1603,59.10852779
2012-06-01,4321,1596,60.49354992
2012-09-01,3853,1595,58.00643842
2012-12-01,4132,1653,62.46222872
2013-03-01,3684,1570,60.67317248
2013-06-01,3631,1425,63.69474693
2013-09-01,3176,1453,66.20098028
2013-12-01,3407,1370,70.14418003
2014-03-01,3673,1444,64.97169874
2014-06-01,3006,1383,68.99068222
2014-09-01,3542,1385,67.94239637
2014-12-01,3240,1402,69.95102758
2015-03-01,3948,1551,66.32143885
2015-06-01,2776,1534,68.31190563
2015-09-01,4261,1551,70.19635623
2015-12-01,3519,1533,72.7024564
2016-03-01,3845,1639,68.60757525
2016-06-01,4960,1687,72.92979168
2016-09-01,5463,1761,72.38849275
2016-12-01,4588,1623,74.39065444
2017-03-01,4121,1608,68.41506808
2017-06-01,4806,1677,73.05799294
2017-09-01,4186,1620,72.01213087
2017-12-01,4506,1661,76.7421294
2018-03-01,5515,1692,72.08142889
2018-06-01,5086,1726,79.83306393
2018-09-01,5036,1658,79.6269101
2018-12-01,3501,1715,79.62883852
2019-03-01,5423,1831,78.59008732
2019-06-01,4908,1872,82.22966027
2019-09-01,7330,2155,78.53388335
2019-12-01,5712,2168,87.48994191
2020-03-01,5860,2411,77.53874125
2020-06-01,5492,2618,86.53222508
2020-09-01,6969,2674,80.83024502
2020-12-01,7171,2567,83.05034875
2021-03-01,6870,2329,73.57267949
2021-06-01,5095,2357,80.50626579
2021-09-01,5410,2437,75.13013744
2021-12-01,5905,2464,78.36811972
2022-03-01,5409,2591,72.28644899
2022-06-01,6475,2623,78.90039023
2022-09-01,6669,2529,74.42915018
2022-12-01,4954,2633,77.17073474
2023-03-01,6021,2764,71.35500727
2023-06-01,6761,2960,77.6852033
2023-09-01,8029,2944,72.386865
2023-12-01,7528,3038,74.64180462
2024-03-01,8511,3155,68.55861838
2024-06-01,8863,3546,73.07154576
2024-09-01,8393,3700,70.33786148
2024-12-01,9928,4082,72.03906596
2025-03-01,14552,4561,71.69471941
2025-06-01,14019,5130,79.14586751
2025-09-01,14438,5286,81.03151559
