YEAR,State,Production
1851,New South Wales,3428.9616
1851,Victoria,6514.9213
1852,New South Wales,19482.284
1852,Victoria,66963.9913
1852,South Australia,20
1853,New South Wales,13973.9764
1853,Victoria,80364.3282
1853,South Australia,850
1854,New South Wales,5661.1019
1854,Victoria,64971.0722
1854,South Australia,800
1855,New South Wales,4792.6655
1855,Victoria,82566.3637
1855,South Australia,180
1856,New South Wales,5045.8195
1856,Victoria,89432.6217
1856,Tasmania,13.2175
1856,South Australia,150
1857,New South Wales,4938.2135
1857,Victoria,82886.2272
1857,Tasmania,10.0764
1857,South Australia,140
1858,New South Wales,8084.2895
1858,Victoria,76033.7776
1858,Tasmania,6.8109
1858,South Australia,130
1859,Queensland,21.4901
1859,New South Wales,9218.7864
1859,Victoria,68785.0518
1859,Tasmania,3.5765
1859,South Australia,130
1860,Queensland,85.1518
1860,New South Wales,10728.8158
1860,Victoria,65134.5649
1860,Tasmania,0.311
1860,South Australia,120
1861,Queensland,28.7675
1861,New South Wales,13223.9999
1861,Victoria,59602.5902
1861,Tasmania,0.2488
1861,South Australia,120
1862,Queensland,4.5406
1862,New South Wales,18068.0115
1862,Victoria,50671.1056
1862,South Australia,100
1863,Queensland,108.3835
1863,New South Wales,13150.7594
1863,Victoria,49634.8847
1863,South Australia,70
1864,Queensland,609.8399
1864,New South Wales,9554.1066
1864,Victoria,47515.3886
1864,South Australia,40
1865,Queensland,680.468
1865,New South Wales,9014.6149
1865,Victoria,47196.3648
1865,South Australia,40
1866,Queensland,626.4473
1866,New South Wales,8173.8264
1866,Victoria,45304.303
1866,Tasmania,7.6506
1866,South Australia,30
1867,Queensland,1385.5672
1867,New South Wales,7713.8263
1867,Victoria,43971.7302
1867,Tasmania,32.0952
1867,South Australia,100
1868,Queensland,4345.4786
1868,New South Wales,7282.5004
1868,Victoria,49344.9394
1868,Tasmania,18.5667
1868,South Australia,200
1869,Queensland,3829.4985
1869,New South Wales,7132.2874
1869,Victoria,45240.0815
1869,Tasmania,3.7631
1869,South Australia,750
1870,Queensland,3584.2128
1870,New South Wales,6816.498
1870,Victoria,38198.1707
1870,Tasmania,26.8393
1870,South Australia,830
1871,Queensland,4516.6841
1871,New South Wales,9155.4979
1871,Victoria,40091.1655
1871,Tasmania,171.8275
1871,South Australia,850
1872,Queensland,4835.117
1872,New South Wales,12037.9392
1872,Victoria,38991.0341
1872,Tasmania,199.973
1872,South Australia,200
1873,Queensland,5253.5053
1873,New South Wales,10223.6585
1873,Victoria,34276.5229
1873,Tasmania,134.6319
1873,South Australia,120
1874,Queensland,9928.5506
1874,New South Wales,7626.2487
1874,Victoria,32145.8308
1874,Tasmania,135.3783
1874,South Australia,20
1875,Queensland,10970.8982
1875,New South Wales,6426.0997
1875,Victoria,31289.9277
1875,Tasmania,87.7331
1875,South Australia,100
1876,Queensland,10529.216
1876,New South Wales,4489.5027
1876,Victoria,28224.8983
1876,Tasmania,328.9136
1876,South Australia,72.4008
1877,Queensland,9644.421
1877,New South Wales,3451.7268
1877,Victoria,23711.6974
1877,Tasmania,170.5213
1878,Queensland,8414.2294
1878,New South Wales,3149.7458
1878,Victoria,22200.1441
1878,Tasmania,732.1562
1878,South Australia,8.9568
1879,Queensland,7572.0725
1879,New South Wales,2981.4637
1879,Victoria,22226.7035
1879,Tasmania,1690.5027
1879,South Australia,0.6531
1880,Queensland,6917.9151
1880,New South Wales,3252.6246
1880,Victoria,24281.8537
1880,Tasmania,1473.7979
1880,Nothern Territory,578.5844
1881,Queensland,7010.9041
1881,New South Wales,4199.5263
1881,Victoria,24406.5025
1881,Tasmania,1588.0593
1881,South Australia,6.4377
1881,Nothern Territory,819.6094
1882,Queensland,5753.7799
1882,New South Wales,3854.9694
1882,Victoria,25321.1846
1882,Tasmania,1371.6033
1882,South Australia,33.9301
1882,Nothern Territory,590.9933
1883,Queensland,5394.606
1883,New South Wales,3357.1517
1883,Victoria,22850.6939
1883,Tasmania,1291.8318
1883,South Australia,77.128
1883,Nothern Territory,565.1803
1884,Queensland,7778.9497
1884,New South Wales,2899.764
1884,Victoria,22802.7999
1884,Tasmania,1174.3982
1884,South Australia,113.2662
1884,Nothern Territory,570.6228
1885,Queensland,7779.2607
1885,New South Wales,2772.4095
1885,Victoria,21531.774
1885,Tasmania,1137.1093
1885,South Australia,133.9477
1885,Nothern Territory,515.5447
1886,Queensland,8692.0768
1886,New South Wales,2681.8463
1886,Victoria,19481.1022
1886,Tasmania,858.4533
1886,South Australia,238.1949
1886,Western Australia,8.397
1886,Nothern Territory,462.2704
1887,Queensland,10850.479
1887,New South Wales,2888.9412
1887,Victoria,18091.6164
1887,Tasmania,1160.7142
1887,South Australia,527.1761
1887,Western Australia,135.5649
1887,Nothern Territory,503.5401
1888,Queensland,12376.9292
1888,New South Wales,2322.7035
1888,Victoria,18304.6514
1888,Tasmania,1077.3973
1888,South Australia,250.4172
1888,Western Australia,97.1875
1888,Nothern Territory,254.8023
1889,Queensland,19736.2155
1889,New South Wales,3183.3027
1889,Victoria,18006.3091
1889,Tasmania,876.398
1889,South Australia,273.1202
1889,Western Australia,431.046
1889,Nothern Territory,348.8798
1890,Queensland,15979.7709
1890,New South Wales,3369.996
1890,Victoria,17236.7085
1890,Tasmania,555.6326
1890,South Australia,152.3589
1890,Western Australia,634.5022
1890,Nothern Territory,591.3976
1891,Queensland,14865.0536
1891,New South Wales,4094.4394
1891,Victoria,16880.5513
1891,Tasmania,1064.9884
1891,South Australia,200.4706
1891,Western Australia,843.3076
1891,Nothern Territory,722.6396
1892,Queensland,15846.7251
1892,New South Wales,4212.0907
1892,Victoria,19166.5568
1892,Tasmania,1163.5132
1892,South Australia,191.0784
1892,Western Australia,1656.7592
1892,Nothern Territory,799.4566
1893,Queensland,15871.6362
1893,New South Wales,4768.4386
1893,Victoria,19654.7646
1893,Tasmania,1034.7281
1893,South Australia,91.9938
1893,Western Australia,3085.2133
1893,Nothern Territory,791.6816
1894,Queensland,17061.3045
1894,New South Wales,8468.9654
1894,Victoria,20996.8851
1894,Tasmania,1588.9612
1894,South Australia,245.1302
1894,Western Australia,5762.7989
1894,Nothern Territory,802.5977
1895,Queensland,15745.4635
1895,New South Wales,9634.6556
1895,Victoria,21674.3364
1895,Tasmania,1509.0964
1895,South Australia,191.0473
1895,Western Australia,6441.121
1895,Nothern Territory,752.5267
1896,Queensland,15616.7406
1896,New South Wales,7858.659
1896,Victoria,23577.9674
1896,Tasmania,1739.423
1896,South Australia,105.118
1896,Western Australia,7825.3509
