Category,Date,Value
Jewellery Fabrication,2010-01-01,564.0728274
Jewellery Fabrication,2011-01-01,610.0350413
Jewellery Fabrication,2012-01-01,560.1207324
Jewellery Fabrication,2013-01-01,613.1880365
Jewellery Fabrication,2014-01-01,615.2804865
Jewellery Fabrication,2015-01-01,623.433004
Jewellery Fabrication,2016-01-01,484.1757648
Jewellery Fabrication,2017-01-01,551.8726711
Jewellery Fabrication,2018-01-01,532.505785
Jewellery Fabrication,2019-01-01,547.5114653
Jewellery Fabrication,2020-01-01,330.6419061
Jewellery Fabrication,2021-01-01,546.3782937
Jewellery Fabrication,2022-01-01,518.5450124
Jewellery Fabrication,2023-01-01,535.3822888
Jewellery Fabrication,2024-01-01,538.6346089
Jewellery Fabrication,2025-01-01,434.6275119
Jewellery Fabrication,2026-01-01,334.9873724
Technology,2010-01-01,115.8465307
Technology,2011-01-01,112.8530959
Technology,2012-01-01,102.9871258
Technology,2013-01-01,91.57023422
Technology,2014-01-01,84.83217786
Technology,2015-01-01,85.29499126
Technology,2016-01-01,77.78392209
Technology,2017-01-01,80.36663987
Technology,2018-01-01,83.52246003
Technology,2019-01-01,81.51099757
Technology,2020-01-01,74.1309206
Technology,2021-01-01,82.69712905
Technology,2022-01-01,82.61301415
Technology,2023-01-01,72.84203317
Technology,2024-01-01,80.2194837
Technology,2025-01-01,80.44881088
Technology,2026-01-01,81.61800446
Investment,2010-01-01,283.3328855
Investment,2011-01-01,353.4359342
Investment,2012-01-01,416.3667434
Investment,2013-01-01,255.7559509
Investment,2014-01-01,283.2463792
Investment,2015-01-01,293.5414736
Investment,2016-01-01,617.3242231
Investment,2017-01-01,415.1168619
Investment,2018-01-01,291.4895791
Investment,2019-01-01,302.9558436
Investment,2020-01-01,555.9313079
Investment,2021-01-01,181.4499903
Investment,2022-01-01,561.3007832
Investment,2023-01-01,279.9345925
Investment,2024-01-01,211.2180239
Investment,2025-01-01,563.5638293
Investment,2026-01-01,535.6022831
Central Bank and Other Institutions,2010-01-01,59.71023066
Central Bank and Other Institutions,2011-01-01,142.4637612
Central Bank and Other Institutions,2012-01-01,122.4740231
Central Bank and Other Institutions,2013-01-01,170.5474859
Central Bank and Other Institutions,2014-01-01,118.7979716
Central Bank and Other Institutions,2015-01-01,103.0653154
Central Bank and Other Institutions,2016-01-01,110.5879015
Central Bank and Other Institutions,2017-01-01,92.04288362
Central Bank and Other Institutions,2018-01-01,84.79735209
Central Bank and Other Institutions,2019-01-01,146.2310673
Central Bank and Other Institutions,2020-01-01,140.7671603
Central Bank and Other Institutions,2021-01-01,115.6058809
Central Bank and Other Institutions,2022-01-01,82.43638241
Central Bank and Other Institutions,2023-01-01,290.4187947
Central Bank and Other Institutions,2024-01-01,313.265879
Central Bank and Other Institutions,2025-01-01,236.997742
Central Bank and Other Institutions,2026-01-01,243.6641345
