Name,State,Longitude,Latitude,Commodities,Significance
Boddington,WA,116.3581,-32.7509,"Gold, Copper",2
Dry River South,QLD,144.689,-18.7904,"Zinc, Copper, Lead, Silver, Gold",4
Endeavor,NSW,145.6537957,-31.1629209,"Zinc, Lead, Silver, (Copper, Gold)",2
Agnew Project,WA,120.5081,-28.00071,Gold,3
Burbanks (Barra),WA,121.1375,-31.0279,Gold,5
Cadia Hill,NSW,148.9957,-33.4574,"Gold, Copper",2
Granny Smith Project,WA,122.423,-28.812,Gold,3
Butterfly,WA,121.3804,-29.198,Gold,5
Hill 50,WA,117.7972,-28.0336,Gold,3
Hillgrove Project,NSW,151.9009,-30.5745,"Gold, (Antimony, Tungsten, Tungsten trioxide (wolframite))",4
Tritton,NSW,146.7216,-31.3956,"Copper, (Gold, Silver, Cobalt)",3
Challenger,SA,133.5889,-29.8782,Gold,3
Angas,SA,138.9159169,-35.25106617,"Zinc, Lead, Gold, (Silver, Copper)",4
Mineral Hill,NSW,146.9871,-32.5755,"Gold, Copper, (Silver, Zinc, Lead)",4
Lady Annie,QLD,139.0440158,-19.77305269,"Copper, Gold",3
Marvel Loch,WA,119.4926,-31.4646,Gold,3
The Pinnacles,NSW,141.3286608,-32.04902254,"Lead, Zinc, Silver, Gold",6
Whim Creek,WA,117.8305834,-20.84373003,"Copper, Zinc, (Gold, Silver, Lead)",3
Mount Rawdon,QLD,151.7641,-25.2713,"Gold, (Silver)",3
Charters Towers,QLD,146.2666,-20.0757,"Gold, (Silver)",2
Comet Vale,WA,121.1310435,-29.95492795,Gold,6
Raleigh,WA,121.2432,-30.7276,Gold,4
Wiluna Project,WA,120.2521,-26.6318,Gold,4
Moonbeam,WA,121.2437521,-30.7187169,Gold,6
Golden Grove,WA,116.9848,-28.7629,"Copper, Zinc, Gold, (Silver, Lead)",3
Red October,WA,122.4141,-29.2166,Gold,4
Centenary,WA,121.2868,-27.8884,Gold,3
Ballarat-Last Chance,WA,121.5995,-30.5943,Gold,4
Cave Rocks,WA,121.5577,-31.2098,Gold,6
Jundee-Nimary,WA,120.6041,-26.3725,Gold,3
Kundana,WA,121.2311411,-30.71114297,Gold,6
Genesis,WA,120.497,-27.9784,Gold,6
OK Decline,WA,121.7849,-32.2186,Gold,6
Wallaby,WA,122.3055,-28.8518,Gold,6
Paulsens,WA,116.2426,-22.5794,Gold,4
Tuckabianna Group,WA,118.1168,-27.4867,Gold,4
Osborne,QLD,140.5736,-22.0939,"Copper, Gold",3
Kalgoorlie (Super Pit),WA,121.505,-30.7781,Gold,2
