Mine,State,Period,start_year,era,grade_Au,Mt_ore
SuperPit,WA,1989-2021#,1989,1971-2000,2.1243,352.7137
Boddington,WA,1988-2001,1988,1971-2000,1.4804,104.1503
Boddington,WA,2009-2021#,2009,2001-2021,0.7627,436.8722
Bronzewing,WA,1994-2013@,1994,1971-2000,3.5271,22.9712
Labouchere,WA,1989-1994,1989,1971-2000,2.4261,3.0252
Phillips Find trial mining,WA,2013-2015,2013,2001-2021,2.5161,0.1138
Coolgardie-Three Mile Hill,WA,1990-2013@,1990,1971-2000,2.2974,17.62
Jundee,WA,1995-2021#,1995,1971-2000,4.9576,53.3975
Wiluna,WA,"1988-2021@,#",1988,1971-2000,2.4342,42.8655
Sunrise Dam,WA,1997-2021#,1997,1971-2000,2.8449,81.9896
Mount Charlotte,WA,1988-2001,1988,1971-2000,2.9331,19.6689
Fimiston,WA,1988-1995,1988,1971-2000,3.3432,5.3972
Fimiston-Paringa,WA,1984-1990,1984,1971-2000,3.6492,4.7216
Andy Well,WA,2013-2016,2013,2001-2021,7.7645,1.3087
Deflector,WA,2016-2021#,2016,2001-2021,5.0464,3.2856
Mount Percy,WA,1988-1997,1988,1971-2000,1.4155,5.1022
Brightstar,WA,2010-2012,2010,2001-2021,1.7553,0.4113
Big Bell,WA,1988-2001,1988,1971-2000,2.2431,30.4065
South Kagloorlie,WA,2002-2021#,2002,2001-2021,2.2907,45.1691
Jubilee,WA,1988-2001,1988,1971-2000,2.0889,16.1396
Nullagine,WA,2012-2021@,2012,2001-2021,1.5038,13.8184
Gruyere,WA,"2019-2021@,#",2019,2001-2021,1.0371,19.825
Karonie,WA,1988-1993,1988,1971-2000,3.2977,1.7793
Golden Crown,WA,1991-1994,1991,1971-2000,12.9961,0.2686
White Foil,WA,2010-2011,2010,2001-2021,2.4759,0.2907
Granny Smith,WA,1990-2021#,1990,1971-2000,3.6594,92.9859
Paddington Group,WA,"1988-2021@,#",1988,1971-2000,2.0446,88.6729
Kundana,WA,"1990-2015@,#",1990,1971-2000,5.4398,8.1882
Sandstone,WA,1994-2010,1994,1971-2000,2.8672,7.3352
New Celebration,WA,1988-2002,1988,1971-2000,2.4361,20.1727
Comet Vale,WA,2006-2020@,2006,2001-2021,6.6637,0.2233
Ora Banda-Lady Bountiful-Great Lady,WA,1988-1998,1988,1971-2000,2.3529,26.5671
Telfer,WA,1977-2021#,1977,1971-2000,1.1443,496.0948
St Ives Group,WA,1980-2021#,1980,1971-2000,2.8462,158.55
Central Norseman,WA,1937-2014,1937,1911-1940,9.9935,18.0748
Lancefield,WA,1988-1995$,1988,1971-2000,4.3553,3.417
Coyote,WA,2006-2013,2006,2001-2021,4.8433,1.4805
Trouser Legs,WA,2013-2014,2013,2001-2021,2.4339,0.6727
Hill 50,WA,1988-1997$,1988,1971-2000,2.5547,16.6913
Agnew,WA,1988-2021#,1988,1971-2000,2.5547,37.1978
Kanowna Belle,WA,1990-2021#,1990,1971-2000,4.3883,53.929
Tower Hill,WA,1989-1992,1989,1971-2000,2.3685,1.1928
Mount York-Lynas Find,WA,1995-1998,1995,1971-2000,1.8431,2.072
Bannockburn,WA,1991-1998,1991,1971-2000,2.3498,4.7908
Fortitude-Red Dog,WA,2017-2018,2017,2001-2021,2.081,0.3477
Red October,WA,2019-2021#,2019,2001-2021,3.6545,0.1151
Mount Morgans,WA,"1989-2021@,#",1989,1971-2000,2.1932,20.4171
Meekatharra,WA,1989-1995,1989,1971-2000,1.9254,11.9204
Mount Fisher,WA,1988,1988,1971-2000,3.9,0.23
Plutonic,WA,1990-2021#,1990,1971-2000,3.0337,62.4769
Darlot,WA,1988-2021#,1988,1971-2000,4.5325,22.0513
Lawlers,WA,1986-2013,1986,1971-2000,4.0989,18.676
Bellevue,WA,1986-1997,1986,1971-2000,8.5102,2.3973
Mount Gibson,WA,1986-1998,1986,1971-2000,2.2825,10.6951
Peak Hill (WA),WA,1988-1999,1988,1971-2000,3.0492,6.3893
QED,WA,1989-1993,1989,1971-2000,2.915,0.8736
Widgiemooltha,WA,2018-2019,2018,2001-2021,1.9236,0.5828
Cork Tree Well,WA,1988-1994,1988,1971-2000,2.2671,3.8685
Laverton (Crescent Gold),WA,2007-2013,2007,2001-2021,1.4873,9.0424
Mertondale,WA,1986-1988,1986,1971-2000,3.5523,0.6523
Harbour Lights,WA,1985-1994,1985,1971-2000,2.6889,3.7588
Mount Ida,WA,2007-2008,2007,2001-2021,11.734,0.0082
Bardoc-Davyhurst,WA,"1984-2021@,#",1984,1971-2000,2.2422,12.9265
Sons of Gwalia,WA,"1897-2021@,#",1897,1881-1910,5.7254,39.6448
King of the Hills,WA,1985-2015@,1985,1971-2000,4.2357,2.48
Marvel Loch,WA,1981-2013,1981,1971-2000,2.5757,44.0698
Bullfinch,WA,1987-2001,1987,1971-2000,2.7896,9.1813
Great Victoria,WA,1988-1989,1988,1971-2000,1.7831,0.342
Yilgarn Star,WA,1991-2001,1991,1971-2000,4.6505,6.8075
Nevoria,WA,1987-1998,1987,1971-2000,2.6743,3.8593
Fortnum,WA,"1989-2021@,#",1989,1971-2000,2.7046,11.1828
Bamboo Creek (WA),WA,1986-2016@,1986,1971-2000,6.5101,0.848
Normay Tailings,WA,2001-2008@,2001,2001-2021,2.2255,0.0559
Binduli,WA,1989-2004,1989,1971-2000,2.37,5.9933
Bluebird,WA,1990-2004,1990,1971-2000,1.5653,30.3752
